SampleID,run
3D7-100K_S8_L001,230224_M07977_0007_000000000-KJGH6_alignment2
3D7-10k_S56_L001,230224_M07977_0007_000000000-KJGH6_alignment2
3D7-100K_S7_L001,230321_M07977_0008_000000000-KHJKK
3D7-10k_S56_L001,230321_M07977_0008_000000000-KHJKK
3D7-Dd2-k13-60-40-100K_S88_L001,230321_M07977_0008_000000000-KHJKK
3D7-Dd2-k13-75-25-100K_S87_L001,230321_M07977_0008_000000000-KHJKK
3D7-Dd2-k13-90-10-100K_S86_L001,230321_M07977_0008_000000000-KHJKK
3D7-Dd2-k13-95-5-100K_S85_L001,230321_M07977_0008_000000000-KHJKK
3D7-Dd2-k13-98-2-100K_S84_L001,230321_M07977_0008_000000000-KHJKK
3D7-HB3-10-90-10K_S94_L001,230321_M07977_0008_000000000-KHJKK
3D7-HB3-25-75-10K_S93_L001,230321_M07977_0008_000000000-KHJKK
3D7-HB3-2-98-10K_S96_L001,230321_M07977_0008_000000000-KHJKK
3D7-HB3-50-50-10K_S92_L001,230321_M07977_0008_000000000-KHJKK
3D7-HB3-5-95-10K_S95_L001,230321_M07977_0008_000000000-KHJKK
3D7-HB3-75-25-10K_S91_L001,230321_M07977_0008_000000000-KHJKK
3D7-HB3-90-10-10K_S90_L001,230321_M07977_0008_000000000-KHJKK
3D7-HB3-95-5-10K_S89_L001,230321_M07977_0008_000000000-KHJKK
3D7100_S56_L001,230331_M07977_0009_000000000-KJFF3
3D71K_S7_L001,230331_M07977_0009_000000000-KJFF3
3D7-100K_S7_L001,230410_M07977_0010_000000000-KHJCV
3D7-10k_S56_L001,230410_M07977_0010_000000000-KHJCV
3D7-Dd2-k13-60-40-100K_S88_L001,230410_M07977_0010_000000000-KHJCV
3D7-Dd2-k13-75-25-100K_S87_L001,230410_M07977_0010_000000000-KHJCV
3D7-Dd2-k13-90-10-100K_S86_L001,230410_M07977_0010_000000000-KHJCV
3D7-Dd2-k13-95-5-100K_S85_L001,230410_M07977_0010_000000000-KHJCV
3D7-Dd2-k13-98-2-100K_S84_L001,230410_M07977_0010_000000000-KHJCV
3D7-HB3-10-90-10K_S94_L001,230410_M07977_0010_000000000-KHJCV
3D7-HB3-25-75-10K_S93_L001,230410_M07977_0010_000000000-KHJCV
3D7-HB3-2-98-10K_S96_L001,230410_M07977_0010_000000000-KHJCV
3D7-HB3-50-50-10K_S92_L001,230410_M07977_0010_000000000-KHJCV
3D7-HB3-5-95-10K_S95_L001,230410_M07977_0010_000000000-KHJCV
3D7-HB3-75-25-10K_S91_L001,230410_M07977_0010_000000000-KHJCV
3D7-HB3-90-10-10K_S90_L001,230410_M07977_0010_000000000-KHJCV
3D7-HB3-95-5-10K_S89_L001,230410_M07977_0010_000000000-KHJCV
3D7-100Ka_S7_L001,230525_M07977_0011_000000000-KHHNT
3D7-100kf_S79_L001,230525_M07977_0011_000000000-KHHNT
3D7-100K_S87_L001,230525_M07977_0011_000000000-KHHNT
3D7-10ka_S56_L001,230525_M07977_0011_000000000-KHHNT
3D7-10kf_S72_L001,230525_M07977_0011_000000000-KHHNT
3D7-10k_S96_L001,230525_M07977_0011_000000000-KHHNT
3D7-Dd2-k13-60-40-100Ka_S52_L001,230525_M07977_0011_000000000-KHHNT
3D7-Dd2-k13-60-40-100K_S68_L001,230525_M07977_0011_000000000-KHHNT
3D7-Dd2-k13-75-25-100Ka_S51_L001,230525_M07977_0011_000000000-KHHNT
3D7-Dd2-k13-75-25-100K_S67_L001,230525_M07977_0011_000000000-KHHNT
3D7-Dd2-k13-90-10-100Ka_S50_L001,230525_M07977_0011_000000000-KHHNT
3D7-Dd2-k13-90-10-100K_S66_L001,230525_M07977_0011_000000000-KHHNT
3D7-Dd2-k13-95-5-100Ka_S49_L001,230525_M07977_0011_000000000-KHHNT
3D7-Dd2-k13-95-5-100K_S65_L001,230525_M07977_0011_000000000-KHHNT
3D7-Dd2-k13-98-2-100K_S48_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-10-90-10Ka_S60_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-10-90-10K_S76_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-25-75-10Ka_S59_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-25-75-10K_S75_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-2-98-10Ka_S62_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-2-98-10K_S78_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-50-50-10Ka_S58_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-50-50-10K_S74_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-5-95-10Ka_S61_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-5-95-10K_S77_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-75-25-10Ka_S57_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-75-25-10K_S73_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-90-10-10Ka_S54_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-90-10-10K_S70_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-95-5-10Ka_S53_L001,230525_M07977_0011_000000000-KHHNT
3D7-HB3-95-5-10K_S69_L001,230525_M07977_0011_000000000-KHHNT
N3D7-100K_S7_L001,230623_M07977_0012_000000000-KJGHP
N3D7-10k_S56_L001,230623_M07977_0012_000000000-KJGHP
NDd2-100k_S95_L001,230623_M07977_0012_000000000-KJGHP
NDd2-10k_S96_L001,230623_M07977_0012_000000000-KJGHP
3D7-100K_S7_L001,230802_M07977_0014_000000000-KJKH5
Dd2-10K_S56_L001,230802_M07977_0014_000000000-KJKH5
N3D7100KA_S7,BOH22_Nextseq01
N3D7100KD_S208,BOH22_Nextseq01
N3D710kA_S56,BOH22_Nextseq01
N3D71KC_S192,BOH22_Nextseq01
NDd2100KB_S96,BOH22_Nextseq01
NDd210kB_S145,BOH22_Nextseq01
NDd210kD_S255,BOH22_Nextseq01
PM-2_S256,BOH22_Nextseq01
PM-4_S257,BOH22_Nextseq01
N3D7_100a_S56,HFS_22_03
N3D7-100_c_S134,HFS_22_03
N3D7_1Ka_S7,HFS_22_03
N3D7_1Kb_S103,HFS_22_03
N3D71K_d_S196,HFS_22_03
NDD2_D3_S201,HFS_22_03
NDD2_D4_S202,HFS_22_03
NDD2_D5_S203,HFS_22_03
NDD2_D6_S204,HFS_22_03
NDD2_D7_S205,HFS_22_03
N3D7100K_a_S7,HFS_NextSeq01
N3D7100Kb_S103,HFS_NextSeq01
N3D7100Kc_S199,HFS_NextSeq01
N3D710ka_S56,HFS_NextSeq01
N3D710kb_S152,HFS_NextSeq01
N3D710kc_S248,HFS_NextSeq01
N3D7_Dd2_k13_0_S162,HFS_NextSeq01
N3D7_Dd2_k13_100_S146,HFS_NextSeq01
N3D7_Dd2_k13_10_S158,HFS_NextSeq01
N3D7_Dd2_k13_1_S161,HFS_NextSeq01
N3D7_Dd2_k13_25_S157,HFS_NextSeq01
N3D7_Dd2_k13_2_S160,HFS_NextSeq01
N3D7_Dd2_k13_40_S156,HFS_NextSeq01
N3D7_Dd2_k13_50_S155,HFS_NextSeq01
N3D7_Dd2_k13_5_S159,HFS_NextSeq01
N3D7_Dd2_k13_60_S154,HFS_NextSeq01
N3D7_Dd2_k13_75_S153,HFS_NextSeq01
N3D7_Dd2_k13_90_S150,HFS_NextSeq01
N3D7_Dd2_k13_95_S149,HFS_NextSeq01
N3D7_Dd2_k13_98_S148,HFS_NextSeq01
N3D7_Dd2_k13_99_S147,HFS_NextSeq01
N3D7100Ka_S7,HFS22_NextSeq02_complete
N3D7100Kb_S103,HFS22_NextSeq02_complete
N3D7100Kc_S199,HFS22_NextSeq02_complete
N3D710ka_S56,HFS22_NextSeq02_complete
N3D710kb_S152,HFS22_NextSeq02_complete
N3D710kc_S248,HFS22_NextSeq02_complete
N3D7plusHB3_k13100i_S195,HFS22_NextSeq02_complete
N3D7plusHB3_k13100_S181,HFS22_NextSeq02_complete
N3D7plusHB3_k1310_90_S191,HFS22_NextSeq02_complete
N3D7plusHB3_k131_99_S194,HFS22_NextSeq02_complete
N3D7plusHB3_k1325_75_S190,HFS22_NextSeq02_complete
N3D7plusHB3_k132_98_S193,HFS22_NextSeq02_complete
N3D7plusHB3_k1340_60_S189,HFS22_NextSeq02_complete
N3D7plusHB3_k1350_50_S188,HFS22_NextSeq02_complete
N3D7plusHB3_k135_95_S192,HFS22_NextSeq02_complete
N3D7plusHB3_k1375_25_S186,HFS22_NextSeq02_complete
N3D7plusHB3_k1390_10_S185,HFS22_NextSeq02_complete
N3D7plusHB3_k1395_5_S184,HFS22_NextSeq02_complete
N3D7plusHB3_k1398_2_S183,HFS22_NextSeq02_complete
N3D7plusHB3_k1399_1_S182,HFS22_NextSeq02_complete
N3DplusHB3_k1360_40_S187,HFS22_NextSeq02_complete
NPM2_1_S274,HFS22_NextSeq02_complete
NPM2_2_S275,HFS22_NextSeq02_complete
NPM2_4_S276,HFS22_NextSeq02_complete
N3D7_100Ka_S7,ICAB_NextSeq01
N3D7_100Kb_S102,ICAB_NextSeq01
N3D7_100Kc_S185,ICAB_NextSeq01
N3D7_10ka_S56,ICAB_NextSeq01
N3D7_10kb_S151,ICAB_NextSeq01
N3D7_10kc_S234,ICAB_NextSeq01
N3D7100c_S272,MULB_NextSeq01
N3D7100d_S279,MULB_NextSeq01
N3D7100Kb_S103,MULB_NextSeq01
N3D710kb_S152,MULB_NextSeq01
N3D710kc_S248,MULB_NextSeq01
N3D710Kd_S320,MULB_NextSeq01
NDd2100Ka_S7,MULB_NextSeq01
NDd2100Kc_S199,MULB_NextSeq01
NDd210ka_S56,MULB_NextSeq01
NDd21Kd_S322,MULB_NextSeq01
NPM-2_S269,MULB_NextSeq01
NPM-4_S270,MULB_NextSeq01
N3D7100K_S7_L001,NMCP21_MiSeq01
N3D710k_S56_L001,NMCP21_MiSeq01
N3D7_100Ka_S7_L001,REACT2_NextSEQ01_140623_modif_dup
N3D7_10ka_S56_L001,REACT2_NextSEQ01_140623_modif_dup
N3D7_10kc_S248_L001,REACT2_NextSEQ01_140623_modif_dup
NDd2_100Kb_S103_L001,REACT2_NextSEQ01_140623_modif_dup
NDd2_100Kc_S199_L001,REACT2_NextSEQ01_140623_modif_dup
NDd2_10kb_S152_L001,REACT2_NextSEQ01_140623_modif_dup
NRDT_Dd2_10Kc_S198_L001,REACT2_NextSEQ01_140623_modif_dup
DD2_K539T_100ka_S7,SMC2_NextSeq01_211022
3D7_10ka_S56,SMC2_NextSeq01_211022
